"","month","year","Site","Depth","N","Temp","sd","se","ci","m.y","season","Method"
"78","8","2016","Urban-W","5m",31,27.7066774193548,0.222314400057932,0.0399288449673061,0.0815455802886516,"8/2016","winter","insitu"
"79","9","2016","Rural-N","10m",30,28.2456333333333,0.495967496385866,0.0905508618533003,0.185197306783033,"9/2016","winter","insitu"
"80","9","2016","Rural-N","5m",30,27.893,0.496578986320578,0.0906625041302766,0.18542564087722,"9/2016","winter","insitu"
"81","9","2016","Urban-E","10m",30,28.5105333333333,0.623922891640181,0.113912213965059,0.232976636602302,"9/2016","winter","insitu"
"82","9","2016","Urban-E","5m",30,28.31575,0.667969772055076,0.121954037295383,0.249424012054275,"9/2016","winter","insitu"
"83","9","2016","Urban-W","10m",30,28.6377333333333,0.576660551758157,0.105283330740439,0.215328588852808,"9/2016","winter","insitu"
"84","9","2016","Urban-W","5m",30,28.3103833333333,0.582899614048141,0.106422422458407,0.217658292999504,"9/2016","winter","insitu"
"85","10","2016","Rural-N","10m",31,29.4848064516129,0.379509237424233,0.0681618712095303,0.139205112141176,"10/2016","spring","insitu"
"86","10","2016","Rural-N","5m",31,29.0950483870968,0.392420339152605,0.070480773534953,0.14394094248924,"10/2016","spring","insitu"
"87","10","2016","Urban-E","10m",31,29.5169677419355,0.343257676182288,0.0616508986037287,0.125907932124616,"10/2016","spring","insitu"
"88","10","2016","Urban-E","5m",31,29.288,0.342510535117778,0.0615167081071808,0.125633878569618,"10/2016","spring","insitu"
"89","10","2016","Urban-W","10m",31,29.6446129032258,0.346028002471799,0.0621484638936691,0.126924096011472,"10/2016","spring","insitu"
"90","10","2016","Urban-W","5m",31,29.2510161290323,0.369799979355303,0.0664180369816044,0.135643727529128,"10/2016","spring","insitu"
"91","11","2016","Rural-N","10m",30,30.3631333333333,0.319395844912119,0.0583134363439298,0.119264368545224,"11/2016","spring","insitu"
"92","11","2016","Rural-N","5m",30,29.9702833333333,0.279875393558526,0.0510980221142137,0.104507189482342,"11/2016","spring","insitu"
"93","11","2016","Urban-E","10m",30,30.4305333333333,0.351672038963159,0.0642062361946527,0.131316497475077,"11/2016","spring","insitu"
"94","11","2016","Urban-E","5m",30,30.2405833333333,0.353879657202289,0.0646092902972964,0.132140835673187,"11/2016","spring","insitu"
"95","11","2016","Urban-W","10m",30,30.5452166666667,0.406648362952507,0.0742434937872121,0.151844994229101,"11/2016","spring","insitu"
"96","11","2016","Urban-W","5m",30,30.0677333333333,0.360764411936017,0.0658662687874809,0.134711645340836,"11/2016","spring","insitu"
"97","12","2015","Rural-N","10m",31,29.2613064516129,1.48488878190377,0.266693898149996,0.544661602455345,"12/2015","spring","insitu"
"98","12","2015","Rural-N","5m",31,29.0602096774194,1.5004724299044,0.269492803955829,0.550377730690379,"12/2015","spring","insitu"
"99","12","2015","Urban-E","10m",31,29.1226129032258,1.93962213978942,0.348366420234698,0.711459144745587,"12/2015","spring","insitu"
"100","12","2015","Urban-E","5m",31,28.9473548387097,1.94434642486684,0.349214926882889,0.713192026502176,"12/2015","spring","insitu"
"101","12","2015","Urban-W","10m",31,29.2089516129032,2.07788069257613,0.37319838936574,0.762172791337635,"12/2015","spring","insitu"
"102","12","2015","Urban-W","5m",31,28.9407258064516,2.12269825473268,0.381247861152971,0.778612005856471,"12/2015","spring","insitu"
"103","12","2016","Rural-N","10m",31,30.1589677419355,0.79405050149517,0.142615680145552,0.291260075397928,"12/2016","spring","insitu"
"104","12","2016","Rural-N","5m",31,29.6293064516129,0.825194620250473,0.148209329000956,0.302683830385541,"12/2016","spring","insitu"
