YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
2013,8,13,26.3481,28.0543,27.587,0.8415,0,0,0
2013,8,14,26.5578,28.2974,27.8579,1.072,0,0,0
2013,8,15,26.625,28.507,28.0024,1.294,0,0,0
2013,8,16,26.4584,27.803,27.4413,0.7265,0,0,0
2013,8,17,26.098,27.5886,27.1998,0.2268,0,0,0
2013,8,18,26.2371,27.5883,27.0101,0.2434,0,0,0
2013,8,19,26.1669,27.6249,27.0969,0.2494,0,0,0
2013,8,20,26.3751,27.5928,27.5466,0.3024,0,0,0
2013,8,21,26.2555,27.6751,27.2303,0.4971,0,0,0
2013,8,22,26.1737,27.3147,27.0041,0.3197,0,0,0
2013,8,23,26.1561,27.6037,27.5065,0.2146,0,0,0
2013,8,24,25.9716,27.354,26.9111,0.0866,0,0,0
2013,8,25,25.6221,27.4868,27.4288,0.0981,0,0,0
2013,8,26,25.4814,26.7891,26.2325,-0.7529,0,0,0
2013,8,27,26.0928,27.7958,27.2106,0.1128,0,0,0
2013,8,28,26.1164,27.5526,27.0209,-0.1737,0,0,0
2013,8,29,26.2304,27.3909,26.977,0.063,0,0,0
2013,8,30,26.2071,27.4299,27.2906,-0.0573,0,0,0
2013,8,31,26.5429,27.4718,27.1592,0.2674,0,0,0
2013,9,1,26.3201,27.4203,27.1261,0.0213,0,0,0
2013,9,2,26.4404,27.4353,26.9818,0.0837,0,0,0
2013,9,3,26.0483,27.4713,27.1277,0.0359,0,0,0
2013,9,4,26.3489,27.4328,27.0089,-0.0929,0,0,0
2013,9,5,26.2612,27.3542,26.9109,-0.2009,0,0,0
2013,9,6,26.2567,27.5245,27.2117,-0.1047,0,0,0
2013,9,7,26.3796,27.6296,27.2654,-0.0498,0,0,0
2013,9,8,26.5053,27.6366,27.2394,0.0431,0,0,0
2013,9,9,26.4385,27.9314,27.3861,0.41,0,0,0
2013,9,10,26.3486,27.5055,27.0723,-0.2801,0,0,0
2013,9,11,26.7644,27.6126,27.306,0.0924,0,0,0
2013,9,12,26.7031,27.9205,27.5457,0.4354,0,0,0
2013,9,13,26.9628,27.9282,27.4056,0.3721,0,0,0
2013,9,14,27.0506,27.8876,27.612,0.6,0,0,0
2013,9,15,26.9505,28.0786,27.5419,0.4969,0,0,0
2013,9,16,27.0472,28.2528,27.534,0.4531,0,0,0
2013,9,17,27.1389,28.2777,27.7504,0.6387,0,0,0
2013,9,18,26.9191,28.4626,27.9422,0.8329,0,0,0
2013,9,19,26.9235,28.2834,28.0381,0.7993,0,0,0
2013,9,20,27.0206,28.5333,28.0927,0.8811,0,0,0
2013,9,21,27.3139,28.4421,28.2719,0.8323,0,0,0
2013,9,22,27.4006,28.6838,28.1509,0.857,0,0,0
2013,9,23,27.2848,28.6236,28.3341,0.7712,0,0,0
2013,9,24,27.215,28.6129,28.126,0.7841,0,0,0
2013,9,25,27.4193,28.81,28.1507,0.7339,0,0,0
2013,9,26,27.4769,28.704,28.2889,0.8435,0,0,0
2013,9,27,27.8516,28.643,28.2948,0.8349,0,0,0
2013,9,28,27.789,28.9952,28.4389,0.935,0,0,0
2013,9,29,27.7808,29.1562,28.3139,0.8232,0,0,0
2013,9,30,27.9272,28.9214,28.4373,0.688,0,0,0
2013,10,1,27.8141,28.8762,28.4885,0.6725,0,0,0
2013,10,2,27.8006,28.8439,28.6104,0.5075,0,0,0
2013,10,3,27.6465,28.7547,28.6415,0.6479,0,0,0
2013,10,4,27.6637,28.8767,28.4745,0.7468,0,0,0
2013,10,5,27.6088,28.9385,28.4978,0.7511,0,0,0
2013,10,6,27.9823,29.1652,28.6704,0.6522,0,0,0
2013,10,7,27.9258,29.0302,28.642,0.805,0,0,0
2013,10,8,28.1128,29.3356,28.9141,1.105,0,0,0
2013,10,9,28.3311,29.4398,29.2221,1.3141,0,0,0
2013,10,10,28.226,29.5584,29.3932,1.0782,0,0,0
2013,10,11,28.3976,29.5003,29.1086,1.2633,0,0,0
2013,10,12,28.1826,29.6866,29.6246,1.2346,0,0,0
2013,10,13,28.4452,29.1756,28.8482,0.7609,0,0,0
2013,10,14,28.8671,29.7047,29.1856,1.097,0,0,0
2013,10,15,28.5789,29.2939,28.953,0.604,0,0,0
2013,10,16,28.5294,29.4069,29.0551,0.962,0,0,0
2013,10,17,28.641,29.6378,29.1921,0.9949,0,0,0
2013,10,18,28.6259,29.9331,29.3554,1.1152,0,0,0
2013,10,19,28.599,29.9624,29.3042,1.0031,0,0,0
2013,10,20,28.6525,30.0341,29.2796,0.95,0,0,0
2013,10,21,28.6935,30.0789,29.3588,0.9958,0,0,0
2013,10,22,28.4705,29.8372,29.1219,0.7634,0,0,0
2013,10,23,28.4052,29.5955,29.0225,0.5553,0,0,0
2013,10,24,28.7109,29.7833,29.2494,0.7901,0,0,0
2013,10,25,27.6299,28.9364,28.8309,-0.0909,0,0,0
2013,10,26,28.3931,29.5675,29.421,0.4372,0,0,0
2013,10,27,28.5844,29.8723,29.462,0.6514,0,0,0
2013,10,28,28.9202,29.8853,29.5278,0.792,0.1319,0,1
2013,10,29,29.1775,29.9113,29.4607,0.8052,0.1199,0,1
2013,10,30,28.8064,30.0802,29.6499,0.9654,0.3033,0,1
2013,10,31,29.0552,29.9696,29.5159,0.779,0.1615,0,1
2013,11,1,29.1098,29.947,29.8176,0.8182,0.351,0,1
2013,11,2,29.0582,30.33,29.8946,0.8805,0.4879,0,1
2013,11,3,29.1718,30.2591,29.9507,0.9535,0.5253,0,1
2013,11,4,28.6497,30.0117,29.8281,0.814,0.3367,0,1
2013,11,5,28.9867,30.1838,30.1125,0.7544,0.3742,0,1
2013,11,6,28.3949,29.7462,29.1376,0.0334,0,0,1
2013,11,7,28.5003,29.9747,29.5994,0.4347,0.0883,0,1
2013,11,8,28.8201,29.8275,29.4231,0.2087,0,0,1
2013,11,9,28.5894,29.9843,29.4372,0.2434,0,0,1
2013,11,10,28.8438,30.1363,29.5453,0.3871,0.1744,0,1
2013,11,11,28.5512,29.8639,29.4379,0.1178,0,0,1
2013,11,12,29.0806,30.3855,30.1342,0.72,0.5734,0,1
2013,11,13,29.1329,30.2985,29.9716,0.4544,0.3855,0,1
2013,11,14,29.7504,30.7543,30.5148,0.8571,0.8188,0,1
2013,11,15,29.2012,30.4537,30.218,0.7874,0.7874,0,1
2013,11,16,28.9809,30.4462,30.0479,0.6084,0.6026,0,1
2013,11,17,28.8913,30.2121,29.7316,0.339,0.3291,0,1
2013,11,18,28.8947,30.2126,29.9334,0.4821,0.4818,0,1
2013,11,19,28.9658,29.9968,29.6547,0.1131,0.0909,0,1
2013,11,20,28.9898,30.022,29.7374,0.2303,0.2243,0,1
2013,11,21,29.3444,30.462,30.0212,0.5953,0.564,0,1
2013,11,22,29.2983,31.1426,30.3946,0.9694,0.8747,0,1
