Date,Year,Site,Depth,Transect,Transect_old,Surveyor,GEN,morph,Number,Status,H1,H2,H3,H4
6/22/2017,2017,Manatuto,10m,1,3,CK,OUL,,1,Comp,turf,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,LOB,,2,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,MER,,2,Comp,turf,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,HYD,,2,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,HYD,,2,Comp,turf,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,PAV,,2,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,PAC,,3,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,COS,,1,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,PSA,,1,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,EUP,,4,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,EUP,,3,Comp,TL,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,FUN,,1,Disease,GA,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,FUN,,42,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,FUN,,4,Comp,BUR,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,EPOR,,1,Comp,upside,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,SER,,1,Comp,TL,INV,,
6/22/2017,2017,Manatuto,10m,1,3,CK,POC,,1,Comp,INV,turf,,
6/22/2017,2017,Manatuto,10m,1,3,CK,POC,,1,Bleaching,PBL,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,POR,mass,1,Comp,CCA,turf,,
6/22/2017,2017,Manatuto,10m,1,3,CK,POR,mass,1,Comp,BUR,turf,,
6/22/2017,2017,Manatuto,10m,1,3,CK,LEPTA,,1,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,OXY,,2,Healthy,Healthy,,,
6/22/2017,2017,Manatuto,10m,1,3,CK,OXY,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,ACR,bushy,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,ACR,bushy,1,Comp,TL,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,ACR,stag,1,Disease,GA,BUR,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,,1,Comp,BUR,turf,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,br,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,BR,4,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,,1,Comp,CCA,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,,5,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,,1,Comp,SoftCoral,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,br,1,Comp,SoftCoral,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MONTI,,1,Comp,Pred,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POC,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POC,,2,Comp,TL,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,1,Comp,Pred,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,2,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,1,Comp,CCA,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,1,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,br,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,br,2,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,GONIO,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,Favia,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,Favia,,1,Comp,Pale,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MON,,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,Favia,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MON,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,FAV,,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,EPOR,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,PLA,,10,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,PLA,,1,Comp,turf,PBL,,
6/24/2017,2017,CristoRei,10m,1,1,CK,GONIAS,,7,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,CYP,,1,Comp,BUR,turf,,
6/24/2017,2017,CristoRei,10m,1,1,CK,DIP,,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,DIP,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,CYP,,2,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,FUN,,4,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,GAL,,10,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,GAL,,1,Comp,Pred,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,GAL,,3,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,GAL,,2,Comp,TL,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,PEC,,4,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,OXY,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,EPHY,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MYC,,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,LOB,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,OUL,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,MER,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,HYD,,10,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,HYD,,4,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,HYD,,1,Comp,TL,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,PAV,,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,LEPTO,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,PAC,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,EUP,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,2,Comp,Pred,turf,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,3,Comp,Pred,BUR,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,4,Comp,BUR,turf,,
6/24/2017,2017,CristoRei,10m,1,1,CK,POR,mass,1,Comp,BUR,CCA,,
6/24/2017,2017,CristoRei,10m,1,1,CK,LEPTA,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,Leptoria,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,1,1,CK,EPHY,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,ACR,tab,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,ACR,corym,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,ACR,bushy,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,ACR,stag,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,ACR,tab,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MONTI,,6,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MONTI,,5,Comp,BUR,turf,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MONTI,br,8,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MONTI,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MONTI,br,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MONTI,,4,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MONTI,br,3,Comp,SoftCoral,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POC,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POC,,1,Comp,Pale,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POR,mass,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POR,mass,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POR,mass,3,Comp,Pred,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POR,mass,1,Comp,Broken,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,FAV,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,EPOR,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PLA,,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PLA,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,GONIAS,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PLA,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,GONIAS,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,GONIAS,,1,Comp,Pale,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PLA,,1,Comp,INV,,,
