"","Pop","Site2","Site","Depth","Major.Category","ave","sd$sd","se","upper","lower"
"15","Rural","Rural-N","Beloi","10m","pCCA",12.7098866524263,0.894393672851011,0.516378427782029,13.2262650802083,12.1935082246443
"16","Rural","Rural-N","Beloi","10m","pCoral",42.5404957511547,5.60676754649174,3.23706875225067,45.7775645034054,39.3034269989041
"17","Rural","Rural-N","Beloi","10m","pInv",8.56555750864503,4.32475370766171,2.49689771729732,11.0624552259424,6.06865979134771
"18","Rural","Rural-N","Beloi","10m","pMA",4.62102141410017,1.12246363291759,0.648054680620537,5.26907609472071,3.97296673347963
"19","Rural","Rural-N","Beloi","10m","pSoft",13.7393766358792,19.0741243711753,11.0124508402544,24.7518274761337,2.7269257956248
"20","Rural","Rural-N","Beloi","10m","pSubSa",5.31532971769935,8.3682536980087,4.8314135251924,10.1467432428918,0.483916192506943
"21","Rural","Rural-N","Beloi","10m","pTurCy",12.5083323200952,14.0155872739828,8.09190308548466,20.6002354055799,4.41642923461054
"22","Rural","Rural-N","Beloi","5m","pCCA",3.96519754671231,5.55062040688688,3.20465218608557,7.16984973279788,0.760545360626737
"23","Rural","Rural-N","Beloi","5m","pCoral",58.1830363280941,11.0056645499384,6.35412339051765,64.5371597186117,51.8289129375764
"24","Rural","Rural-N","Beloi","5m","pInv",2.99585666723022,5.40196972758413,3.11882867637491,6.11468534360513,-0.122972009144682
"25","Rural","Rural-N","Beloi","5m","pMA",1.16959064327485,1.99815815102861,1.15363714637982,2.32322778965467,0.0159534968950379
"26","Rural","Rural-N","Beloi","5m","pSoft",18.9563128138224,15.0037771802258,8.66243479386453,27.618747607687,10.2938780199579
"27","Rural","Rural-N","Beloi","5m","pSubSa",13.8541301249902,7.78226811512554,4.49309459117357,18.3472247161638,9.36103553381662
"28","Rural","Rural-N","Beloi","5m","pTurCy",0.875875875875877,15.5980669246085,9.00554813776049,9.88142401363637,-8.12967226188461
"29","Urban","Urban-E","ChristoRei","10m","pCCA",3.62516064993314,1.77607934887692,1.02541989017622,4.65058054010937,2.59974075975692
"30","Urban","Urban-E","ChristoRei","10m","pCoral",12.2920810231225,14.7079240574213,8.49162391377277,20.7837049368953,3.80045710934971
"31","Urban","Urban-E","ChristoRei","10m","pInv",3.67480009037137,0.838148564058111,0.483905299079849,4.15870538945122,3.19089479129153
"32","Urban","Urban-E","ChristoRei","10m","pMA",1.61831427756605,2.16348808330885,1.24909042728691,2.86740470485296,0.369223850279137
