Sample ID,Site2,Site,Depth,Transect,Rep,Location,Nutrient [uM],Concentration
CK 076,Urban-E,ChristoRei,10m,17,C,M,PO4,0.076072958
CK 077,Urban-E,ChristoRei,10m,18,C,M,PO4,0.046986913
CK 078,Rural-E,Manatuto,5m,19,C,M,PO4,0.117642862
CK 079,Rural-E,Manatuto,5m,20,C,M,PO4,0.111298314
CK 080,Rural-E,Manatuto,5m,21,C,M,PO4,0.110411062
CK 081,Rural-E,Manatuto,10m,22,C,M,PO4,0.093140438
CK 082,Rural-E,Manatuto,10m,23,C,M,PO4,0.111973431
CK 083,Rural-E,Manatuto,10m,24,C,M,PO4,0.065010961
CK 060,Rural-N,Beloi,5m,1,C,C,NH4,1.783679543
CK 061,Rural-N,Beloi,5m,2,C,C,NH4,1.021174729
CK 062,Rural-N,Beloi,5m,3,C,C,NH4,0.588545711
CK 063,Rural-N,Beloi,10m,4,C,C,NH4,1.021346063
CK 064,Rural-N,Beloi,10m,5,C,C,NH4,1.347668988
CK 065,Rural-N,Beloi,10m,6,C,C,NH4,1.831997522
CK 066,Urban-W,DiliRock,5m,7,C,M,NH4,1.979211343
CK 067,Urban-W,DiliRock,5m,8,C,M,NH4,0.672481444
CK 068,Urban-W,DiliRock,5m,9,C,M,NH4,1.008047452
CK 069,Urban-W,DiliRock,10m,10,C,M,NH4,2.600735866
CK 070,Urban-W,DiliRock,10m,11,C,M,NH4,4.556472244
CK 071,Urban-W,DiliRock,10m,12,C,M,NH4,5.210965718
CK 072,Urban-E,ChristoRei,5m,13,C,M,NH4,2.004144226
CK 073,Urban-E,ChristoRei,5m,14,C,M,NH4,3.660870655
CK 074,Urban-E,ChristoRei,5m,15,C,M,NH4,6.201287912
CK 075,Urban-E,ChristoRei,10m,16,C,M,NH4,0.775464645
CK 076,Urban-E,ChristoRei,10m,17,C,M,NH4,1.576111336
CK 077,Urban-E,ChristoRei,10m,18,C,M,NH4,1.76826246
CK 078,Rural-E,Manatuto,5m,19,C,M,NH4,1.718001797
CK 079,Rural-E,Manatuto,5m,20,C,M,NH4,1.651456821
CK 080,Rural-E,Manatuto,5m,21,C,M,NH4,0.754917601
