month,year,Site,Depth,N,Temp,sd,se,ci,m.y
4,2017,Urban-W,10m,30,29.625616666666666,0.21276730381971873,0.03884581726720501,0.0794486169477581,4/2017
4,2017,Urban-W,5m,30,29.014616666666665,0.20987096542027125,0.03831702064202308,0.07836710641527628,4/2017
5,2016,Rural-N,10m,31,30.232951612903225,0.3667081799569129,0.06586273341685027,0.1345096463539444,5/2016
5,2016,Rural-N,5m,31,29.93932258064516,0.38113507116653345,0.06845387956986158,0.13980147277249033,5/2016
5,2016,Urban-E,10m,31,30.431354838709677,0.33376234542831007,0.05994548685581641,0.12242501668520174,5/2016
5,2016,Urban-E,5m,31,30.232870967741935,0.34436603509787717,0.0618499657415172,0.12631448145707574,5/2016
5,2016,Urban-W,10m,31,30.501274193548387,0.29358252214978325,0.052728977560494154,0.10768693852072324,5/2016
5,2016,Urban-W,5m,31,30.174419354838708,0.32220299235042826,0.057869365755029316,0.11818501174511846,5/2016
5,2017,Rural-N,10m,31,29.44424193548387,0.31735857403909706,0.05699928254107864,0.11640806476257692,5/2017
5,2017,Rural-N,5m,31,28.682225806451612,0.32241768558578615,0.05790792579840887,0.11826376185962631,5/2017
5,2017,Urban-E,10m,31,29.474967741935483,0.3231129300900816,0.05803279539758531,0.11851877960265372,5/2017
5,2017,Urban-E,5m,31,29.11741935483871,0.34988091061517373,0.06284046662444132,0.1283373541282137,5/2017
5,2017,Urban-W,10m,31,29.61391935483871,0.35036343266133846,0.06292713014227731,0.12851434464365635,5/2017
5,2017,Urban-W,5m,31,28.958354838709678,0.35980534537321673,0.06462294772660465,0.13197766618703938,5/2017
6,2016,Rural-N,10m,30,29.207683333333335,0.3537177786795894,0.06457973545781034,0.1320803892394021,6/2016
6,2016,Rural-N,5m,30,28.902116666666668,0.3794887596203095,0.06928485132123303,0.141703431672943,6/2016
6,2016,Urban-E,10m,30,29.35236666666667,0.29920624686145736,0.05462733691749317,0.11172544873442718,6/2016
6,2016,Urban-E,5m,30,29.164183333333334,0.29383423908297523,0.05364654697103721,0.1097195080632297,6/2016
6,2016,Urban-W,10m,30,29.3991,0.322574166825938,0.05889371587966696,0.12045117345243636,6/2016
6,2016,Urban-W,5m,30,29.104533333333332,0.32663353221587066,0.05963485121074091,0.12196696540038066,6/2016
7,2016,Rural-N,10m,31,28.47066129032258,0.23020256974734163,0.04134560206681101,0.08443898429023966,7/2016
7,2016,Rural-N,5m,31,28.127177419354837,0.23511290012768743,0.042227523437824266,0.08624010801488345,7/2016
7,2016,Urban-E,10m,31,28.49825806451613,0.3709593839170666,0.0666262721880911,0.13606900055576765,7/2016
7,2016,Urban-E,5m,31,28.301564516129034,0.38718182080979957,0.06953990786582069,0.1420194384480914,7/2016
7,2016,Urban-W,10m,31,28.605483870967742,0.34437696118911565,0.06185192812543406,0.12631848917969782,7/2016
7,2016,Urban-W,5m,31,28.309435483870967,0.3519301716234702,0.0632085247667681,0.1290890291346051,7/2016
8,2016,Rural-N,10m,31,27.972370967741934,0.186099344783995,0.033424429026914344,0.06826179076926275,8/2016
8,2016,Rural-N,5m,31,27.603354838709677,0.20271668215962493,0.03640899092514517,0.0743570793281457,8/2016
8,2016,Urban-E,10m,31,27.891258064516126,0.22261311248320995,0.03998249530266734,0.08165514889083113,8/2016
8,2016,Urban-E,5m,31,27.676516129032258,0.22362913807876036,0.040164978886623105,0.08202783008807113,8/2016
8,2016,Urban-W,10m,31,28.00433870967742,0.24575520974799234,0.044138938671441585,0.0901437386990547,8/2016
8,2016,Urban-W,5m,31,27.70667741935484,0.22231440005793202,0.03992884496730614,0.08154558028865164,8/2016
9,2016,Rural-N,10m,30,28.245633333333334,0.4959674963858663,0.0905508618533003,0.18519730678303326,9/2016
9,2016,Rural-N,5m,30,27.893,0.4965789863205776,0.09066250413027656,0.18542564087722027,9/2016
9,2016,Urban-E,10m,30,28.51053333333333,0.6239228916401806,0.11391221396505943,0.23297663660230244,9/2016
9,2016,Urban-E,5m,30,28.31575,0.6679697720550763,0.12195403729538308,0.2494240120542747,9/2016
